schedule_date,schedule_season,schedule_week,team_home,team_away,stadium,team_favorite_id,spread_favorite,over_under_line,weather_detail,weather_temperature,weather_wind_mph,weather_humidity,score_home,score_away,stadium_neutral,schedule_playoff,game_id,,,,,
10/16/1966,1966,6,CHI,GB,Wrigley Field,,,,43 degrees-  humidity 66%- wind 11 mph,43,11,66,0,17,FALSE,FALSE,19661016GBCHI,,,,,
10/16/1966,1966,7,TEN,NYJ,Rice Stadium,,,,,,,,24,0,FALSE,FALSE,19661016NYJTEN,,,,,
10/16/1966,1966,7,KC,OAK,Kansas City Municipal Stadium,,,,,,,,13,34,FALSE,FALSE,19661016OAKKC,,,,,
10/16/1966,1966,7,MIA,DEN,Orange Bowl,,,,,,,,24,7,FALSE,FALSE,19661016DENMIA,,,,,
10/16/1966,1966,6,MIN,LAR,Metropolitan Stadium,,,,36 degrees-  humidity 77%- wind 9 mph- wind chill 30,36,9,77,35,7,FALSE,FALSE,19661016LARMIN,,,,,
10/16/1966,1966,6,NYG,WAS,Yankee Stadium,,,,64 degrees-  humidity 81%- wind 14 mph,64,14,81,13,10,FALSE,FALSE,19661016WASNYG,,,,,
10/16/1966,1966,6,PIT,PHI,Pitt Stadium,,,,51 degrees-  humidity 66%- wind 15 mph,51,15,66,14,31,FALSE,FALSE,19661016PHIPIT,,,,,
10/16/1966,1966,6,ARI,DAL,Busch Memorial Stadium,,,,44 degrees-  humidity 74%- wind 13 mph,44,13,74,10,10,FALSE,FALSE,19661016DALARI,,,,,
10/23/1966,1966,7,IND,MIN,Memorial Stadium (Baltimore),,,,56 degrees-  humidity 81%- wind 6 mph,56,6,81,20,17,FALSE,FALSE,19661023MININD,,,,,
10/23/1966,1966,7,CHI,LAR,Wrigley Field,,,,48 degrees-  humidity 41%- wind 10 mph,48,10,41,17,10,FALSE,FALSE,19661023LARCHI,,,,,
10/23/1966,1966,7,CLE,DAL,Cleveland Municipal Stadium,,,,51 degrees-  humidity 64%- wind 10 mph,51,10,64,30,21,FALSE,FALSE,19661023DALCLE,,,,,
10/23/1966,1966,8,DEN,KC,Mile High Stadium,,,,,,,,10,56,FALSE,FALSE,19661023KCDEN,,,,,
