Note: individual training accuracies are incorrect, but
the averages are fine.
year,test: train acc, test acc
1991 test 43: 0.6235354906775626, 0.6445557
1991 test 44: 0.6306292682569078, 0.6533166
1991 test 45: 0.6349889905482194, 0.6508135
1991 test 46: 0.6241368203049756, 0.64705884
1991 test 47: 0.6333270252417675, 0.640801
1991 test 48: 0.6242063984797057, 0.6533166
1991 test 49: 0.6299342495320511, 0.64705884
1991 averages 49: 0.6778151845932007, 0.6459073865413666
1993 test 0: 0.6288197790091864, 0.6533166
1993 test 1: 0.629605787970564, 0.64580727
1993 test 2: 0.6345675229951646, 0.6445557
1993 test 3: 0.62749232307953, 0.6508135
1993 test 4: 0.6272104001407033, 0.6520651
1993 test 5: 0.6320616530116941, 0.640801
1993 test 6: 0.6370701026707627, 0.63829786
1993 test 7: 0.6284814191252478, 0.640801
1993 test 8: 0.6288457357829369, 0.6508135
1993 test 9: 0.6342238194550456, 0.63829786
1993 test 10: 0.6227090201609872, 0.6520651
1993 test 11: 0.6259743636648855, 0.6558198
1993 test 12: 0.6319977495357748, 0.63954943
1993 test 13: 0.6261758100246085, 0.65707135
1993 test 14: 0.633118973210342, 0.6433041
1993 test 15: 0.6249391944806216, 0.6433041
1993 test 16: 0.6225040204944241, 0.64831036
1993 test 17: 0.6325088403419649, 0.64580727
1993 test 18: 0.622987783083853, 0.6520651
1993 test 19: 0.6308626786424535, 0.63579476
1993 test 20: 0.6287104743154013, 0.64956194
1993 test 21: 0.6276161501648019, 0.6420526
1993 test 22: 0.6208986545468824, 0.64831036
1993 test 23: 0.626350398822332, 0.64831036
1993 test 24: 0.6282824947171203, 0.6420526
1993 test 25: 0.6312714412910992, 0.64956194
1993 test 26: 0.6589405579802502, 0.6220275
1993 test 27: 0.631930846954056, 0.640801
1993 test 28: 0.6258874259147797, 0.640801
1993 test 29: 0.635487986040839, 0.63829786
1993 test 30: 0.6198208316395966, 0.6520651
1993 test 31: 0.6332858732676551, 0.64580727
1993 test 32: 0.6284413411071027, 0.63954943
1993 test 33: 0.6262140215301096, 0.6420526
1993 test 34: 0.6335857962170739, 0.6420526
1993 test 35: 0.6233294294244879, 0.64831036
1993 test 36: 0.6345102648543327, 0.6520651
1993 test 37: 0.6283099214279457, 0.63704634
1993 test 38: 0.6446470791690788, 0.62828535
1993 test 39: 0.6306311944231522, 0.63704634
1993 test 40: 0.624431854584843, 0.6508135
1993 test 41: 0.6382358212825914, 0.63829786
1993 test 42: 0.6266953798199775, 0.64956194
1993 test 43: 0.6339521491981679, 0.6332916
1993 test 44: 0.6329981444895416, 0.6420526
1993 test 45: 0.638091809534758, 0.63954943
1993 test 46: 0.6242255548828832, 0.64705884
1993 test 47: 0.6294580101920233, 0.64831036
1993 test 48: 0.6228714252266105, 0.64580727
1993 test 49: 0.6294255324864343, 0.6420526
1993 averages 49: 0.6769342827796936, 0.6442302894592286
1995 test 0: 0.632056196160773, 0.6295369
1995 test 1: 0.6265229413959574, 0.6545682
1995 test 2: 0.627667376990704, 0.6520651
1995 test 3: 0.6336189856069706, 0.63704634
1995 test 4: 0.6551458093247963, 0.5944931
1995 test 5: 0.6274376897717149, 0.640801
1995 test 6: 0.6366084334679479, 0.63704634
1995 test 7: 0.6255926142618041, 0.6445557
1995 test 8: 0.6225688102863757, 0.64956194
1995 test 9: 0.6206917887849638, 0.660826
1995 test 10: 0.6286168001424312, 0.63829786
1995 test 11: 0.6259990695430355, 0.64956194
1995 test 12: 0.6248796136166261, 0.6445557
1995 test 13: 0.6357393376948837, 0.63204
1995 test 14: 0.625304787441883, 0.64956194
1995 test 15: 0.628406210241837, 0.6533166
1995 test 16: 0.6330072690402909, 0.63704634
1995 test 17: 0.6204662808777767, 0.64580727
1995 test 18: 0.6228975127072298, 0.64705884
1995 test 19: 0.6256788269627154, 0.63704634
1995 test 20: 0.6288393433293205, 0.640801
1995 test 21: 0.6378757904874667, 0.63204
1995 test 22: 0.6206925185222426, 0.6533166
1995 test 23: 0.6232711218288156, 0.64956194
1995 test 24: 0.6234961964227306, 0.6420526
1995 test 25: 0.6263552699494496, 0.63954943
1995 test 26: 0.626529790426095, 0.6433041
1995 test 27: 0.6246634285538009, 0.6508135
1995 test 28: 0.6301502010345608, 0.63204
1995 test 29: 0.629598335042428, 0.63204
1995 test 30: 0.6248913649306429, 0.6508135
1995 test 31: 0.638130418716164, 0.63704634
1995 test 32: 0.6300907464690964, 0.6420526
1995 test 33: 0.6226896710591262, 0.64831036
1995 test 34: 0.6348801327493969, 0.6420526
1995 test 35: 0.623301853105258, 0.6445557
1995 test 36: 0.6222383657444702, 0.6345432
1995 test 37: 0.6226744846218221, 0.64580727
1995 test 38: 0.6289180985305725, 0.6508135
1995 test 39: 0.6347610940399099, 0.64705884
1995 test 40: 0.6188855258764254, 0.64956194
1995 test 41: 0.6269622372512301, 0.640801
1995 test 42: 0.6212229776628623, 0.64831036
1995 test 43: 0.6268714515023744, 0.62703377
1995 test 44: 0.640515457694238, 0.63704634
1995 test 45: 0.6211247199491244, 0.6420526
1995 test 46: 0.627952284439559, 0.6508135
1995 test 47: 0.6238262772056576, 0.64580727
1995 test 48: 0.6263872074786205, 0.64956194
1995 test 49: 0.6367892852596221, 0.6420526
1995 averages 49: 0.6802537655830383, 0.6425281608104706
1997 test 0: 0.6366101976143702, 0.63204
1997 test 1: 0.6281377596545205, 0.64705884
1997 test 2: 0.6234903137604048, 0.6533166
1997 test 3: 0.6239797888657029, 0.64705884
1997 test 4: 0.6255588923931793, 0.64705884
1997 test 5: 0.6206819015521281, 0.64956194
1997 test 6: 0.6306531190527171, 0.6295369
1997 test 7: 0.6370155249858679, 0.6307885
1997 test 8: 0.6348479767475692, 0.63704634
1997 test 9: 0.6266023065890179, 0.6295369
1997 test 10: 0.6341702536363923, 0.63829786
1997 test 11: 0.6289696787974712, 0.6545682
1997 test 12: 0.6405331681252868, 0.62703377
1997 test 13: 0.6214506960146419, 0.6533166
1997 test 14: 0.624908625156396, 0.6558198
1997 test 15: 0.6496971362714512, 0.62828535
1997 test 16: 0.6195934619218372, 0.6533166
1997 test 17: 0.6558090245936332, 0.63204
1997 test 18: 0.6269564518147849, 0.64831036
1997 test 19: 0.6292234843221489, 0.64580727
1997 test 20: 0.6306728003348442, 0.64956194
1997 test 21: 0.6267722734484416, 0.63704634
1997 test 22: 0.6286412353472357, 0.63954943
1997 test 23: 0.6306782083653464, 0.6345432
1997 test 24: 0.6244253096997141, 0.64705884
1997 test 25: 0.623368289522146, 0.64956194
1997 test 26: 0.6245247475075557, 0.6508135
1997 test 27: 0.6252718834353329, 0.64705884
1997 test 28: 0.6253651740106384, 0.6420526
1997 test 29: 0.6271579999439372, 0.63704634
1997 test 30: 0.6363670420372516, 0.6332916
1997 test 31: 0.6225184272970067, 0.63829786
1997 test 32: 0.6340610725905406, 0.63204
1997 test 33: 0.6280611385224161, 0.6420526
1997 test 34: 0.6239138359159642, 0.64580727
1997 test 35: 0.6526831254195212, 0.62828535
1997 test 36: 0.6207373559344397, 0.6508135
1997 test 37: 0.6339748282782799, 0.6245307
1997 test 38: 0.624965319393648, 0.640801
1997 test 39: 0.6366131915635102, 0.63204
1997 test 40: 0.6264545401611898, 0.63954943
1997 test 41: 0.6411020448326468, 0.6345432
1997 test 42: 0.6208277195598814, 0.6545682
1997 test 43: 0.6320104090233469, 0.6433041
1997 test 44: 0.6335038499293548, 0.64956194
1997 test 45: 0.6380721336004507, 0.63829786
1997 test 46: 0.6297649951309003, 0.6445557
1997 test 47: 0.6233049533440637, 0.640801
1997 test 48: 0.6313153736862134, 0.63954943
1997 test 49: 0.6291793010317638, 0.63704634
1997 averages 49: 0.6829404008388519, 0.6412765944004059
1999 test 0: 0.6468983822978931, 0.62828535
1999 test 1: 0.6337130910184267, 0.63579476
1999 test 2: 0.6352621656801734, 0.6345432
1999 test 3: 0.6288761341844095, 0.6433041
1999 test 4: 0.6253865717330922, 0.6533166
1999 test 5: 0.6318025806632, 0.6307885
1999 test 6: 0.6240921345200199, 0.64831036
1999 test 7: 0.6343216816609135, 0.64705884
1999 test 8: 0.6270504242580883, 0.6433041
1999 test 9: 0.623573464361277, 0.64580727
1999 test 10: 0.6446653426425515, 0.63704634
1999 test 11: 0.6359882624691657, 0.64580727
1999 test 12: 0.6259462883758903, 0.63704634
1999 test 13: 0.6291497663847719, 0.6433041
1999 test 14: 0.6373265182252074, 0.6345432
1999 test 15: 0.6353193121182455, 0.6345432
1999 test 16: 0.6468007248757554, 0.640801
1999 test 17: 0.633275373632529, 0.64956194
1999 test 18: 0.625535866578992, 0.6533166
1999 test 19: 0.6243920252799465, 0.6420526
1999 test 20: 0.6287931316206989, 0.6508135
1999 test 21: 0.6309964663310627, 0.6420526
1999 test 22: 0.624427056786265, 0.640801
1999 test 23: 0.6310055805172058, 0.6508135
1999 test 24: 0.6298027240970779, 0.6533166
1999 test 25: 0.6314974585583012, 0.63579476
1999 test 26: 0.6360419753598555, 0.63829786
1999 test 27: 0.6335065716199194, 0.6332916
1999 test 28: 0.6273054338021854, 0.63954943
1999 test 29: 0.6289865044557555, 0.64956194
1999 test 30: 0.6251102383755548, 0.6558198
1999 test 31: 0.632519645805241, 0.6420526
1999 test 32: 0.6321827475452453, 0.64831036
1999 test 33: 0.6343097295215789, 0.640801
1999 test 34: 0.635039971929244, 0.64580727
1999 test 35: 0.6275291378902405, 0.6533166
1999 test 36: 0.6413149424130389, 0.6345432
1999 test 37: 0.628102477252931, 0.6533166
1999 test 38: 0.6369325203333838, 0.6307885
1999 test 39: 0.6314870081608823, 0.65707135
1999 test 40: 0.6346929528667721, 0.63954943
1999 test 41: 0.6261420466789093, 0.64580727
1999 test 42: 0.6234544285098662, 0.64956194
1999 test 43: 0.6245926886759652, 0.64831036
1999 test 44: 0.6351044748039061, 0.63954943
1999 test 45: 0.6234594682634846, 0.6520651
1999 test 46: 0.6269587325270245, 0.6420526
1999 test 47: 0.6380584677529798, 0.64580727
1999 test 48: 0.6291381220178252, 0.63704634
1999 test 49: 0.625442028222827, 0.6520651
1999 averages 49: 0.6814051389694213, 0.6435294127464295
2001 test 0: 0.6409747827826103, 0.6345432
2001 test 1: 0.6393375162907103, 0.6232791
2001 test 2: 0.623705180256962, 0.64580727
2001 test 3: 0.624088466675656, 0.6420526
2001 test 4: 0.6265208503891142, 0.63704634
2001 test 5: 0.6443208517303902, 0.6245307
2001 test 6: 0.6266141094230069, 0.64580727
2001 test 7: 0.6299957398730838, 0.65707135
2001 test 8: 0.6318546637323905, 0.64705884
2001 test 9: 0.6281593718865562, 0.62828535
2001 test 10: 0.624207709688642, 0.6545682
2001 test 11: 0.6317251594608955, 0.63829786
2001 test 12: 0.6287919939757886, 0.64705884
2001 test 13: 0.6476768967794612, 0.63829786
2001 test 14: 0.6241247186598103, 0.6558198
2001 test 15: 0.6317155485009968, 0.64956194
2001 test 16: 0.634926015299014, 0.63579476
2001 test 17: 0.6287627666535903, 0.6520651
2001 test 18: 0.6441958374128175, 0.61827284
